AMT Sample,Image No.,Spheres Y/N?,,Family,Genus,Species,CN visible,CN x2,CL distal,CL proximal,CW,CD - short,Cd-long,Shape model (Sun and Lui),Volume,Eq. spherical D,Notes,ks suggested,ks min,ks max,,PIC pg CaCO3,PIC pg C,PIC pmol C,Cocco D,Volume,% vol. that is cell for this genus,Estimated cell volume,Estimated cell diameter,Estimated POC pg C MDL,Estimated POC pmol C MDL,PIC:POC MDL,Estimated POC pg C Villiot,Estimated POC pmol C Villiot,PIC:POC Villiot
AMT-14 CTD36 17m,15-11-0490,Intact,1,Umbellosphaeraceae,Umbellosphaera,irregularis,9,15,7.175,,5.59,8.312,8.975,PS,324.67,8.53,"CN = visible x3 - This is coccosphere size, needs adjusting for coccolith height.",0.01,,,,32.31,3.88,0.32,5.73,98.37,95.00,93.45,5.63,15.31,1.28,0.25,7.19,0.60,0.54
AMT-14 CTD36 17m,15-11-0491,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0491,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0496,Collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,,12,3.524,,2.807,,,PS,176.10,6.95,"Tube cycle CL = 2.335, Tube cycle CW = 1.726",0.02,0.016,0.021,,28.36,3.40,0.28,6.95,176.10,86.00,151.45,6.61,24.08,2.01,0.14,10.08,0.84,0.34
AMT-14 CTD36 17m,15-11-0497,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,22,44,0.769,,0.589,4.072,4.431,PS,38.47,4.19,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,0.81,0.10,0.01,4.19,38.47,76.00,29.24,3.82,5.14,0.43,0.02,3.19,0.27,0.03
AMT-14 CTD36 17m,15-11-0500,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,10,8.83,1.792,6.862,,,PS,51.37,4.61,"CW = 1.319, possible 10% base overlap",0.01,,,,40.15,4.82,0.40,4.61,51.37,95.00,48.80,4.53,8.32,0.69,0.58,4.56,0.38,1.06
AMT-14 CTD36 17m,15-11-0500,Collapsed,1,Holococcolith,Corisphaera,tyrrheniensis,16,40,1.296,,0.943,,,PS,192.55,7.16,possible 5% base gaps,0.036,,,,8.46,1.02,0.08,7.16,192.55,59.00,113.61,6.01,18.39,1.53,0.06,8.24,0.69,0.12
AMT-14 CTD36 17m,15-11-0501,Partially collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,21,42,3.513,,2.043,,,PS,159.19,6.72,"possible 85% base overlap, spine length = 4.806",0.015,0.011,0.017,,155.87,18.70,1.56,6.72,159.19,80.00,127.36,6.24,20.47,1.71,0.91,8.93,0.74,2.10
AMT-14 CTD36 17m,15-11-0505,"Partial image, other part in 504",1,Umbellosphaeraceae,Umbellosphaera,irregularis,11,33,7.5,,,11.185,11.185,PS,732.67,11.19,"CN = visible x3 - This is coccosphere size, needs adjusting for coccolith height. CD measured in one direction as sphere split over 2 images",0.01,,,,81.19,9.74,0.81,8.39,308.68,95.00,293.25,8.24,44.79,3.73,0.22,16.00,1.33,0.61
AMT-14 CTD36 17m,15-11-0506,Intact,1,Holococcolith,Corisphaera,tyrrheniensis,51,102,1.163,,0.974,7.482,7.817,PS,229.13,7.59,Coccosphere size measured from flattened coccosphere,0.036,,,,15.60,1.87,0.16,7.59,229.13,59.00,135.18,6.37,21.65,1.80,0.09,9.31,0.78,0.20
AMT-14 CTD36 17m,15-11-0507,Collapsed,1,Holococcolith,Corisphaera,tyrrheniensis,34,68,1.343,,0.963,7.709,8.148,PS,253.54,7.85,,0.036,,,,16.01,1.92,0.16,7.85,253.54,59.00,149.59,6.59,23.81,1.98,0.08,9.99,0.83,0.19
AMT-14 CTD36 17m,15-11-0508,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,18,3.054,,2.297,,,PS,43.16,4.35,"possible 85% base overlap, spine length = 5.486",0.015,0.011,0.017,,77.49,9.30,0.77,4.35,43.16,80.00,34.53,4.04,6.01,0.50,1.55,3.58,0.30,2.60
AMT-14 CTD36 17m,15-11-0509,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0510,Intact,1,Umbellosphaeraceae,Umbellosphaera,irregularis,8,24,5.217,,,6.519,7.111,PS,158.23,6.71,"CN = visible x3 - This is coccosphere size, needs adjusting for coccolith height. CD measured in one direction as sphere split over 2 images",0.01,,,,19.87,2.38,0.20,3.91,31.31,95.00,29.75,3.84,5.22,0.44,0.46,3.23,0.27,0.74
AMT-14 CTD36 17m,15-11-0510,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,19,3.33,,2.557,,,PS,62.59,4.93,"possible 85% base overlap, spine length = 5.506",0.015,0.011,0.017,,87.90,10.55,0.88,4.93,62.59,80.00,50.07,4.57,8.52,0.71,1.24,4.64,0.39,2.27
AMT-14 CTD36 17m,15-11-0518,Collapsed,1,Holococcolith,Syracosphaera,HOL,26,52,0.966,,0.671,4.548,6.095,PS,66.01,5.01,Coccosphere size measured from flattened coccosphere,0.036,,,,4.56,0.55,0.05,5.01,66.01,80.00,52.81,4.65,8.96,0.75,0.06,4.82,0.40,0.11
AMT-14 CTD36 17m,15-11-0521,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,16,6.759,1.333,5.401,,,PS,42.33,4.32,"CW = 0.974, possible 10% base overlap",0.01,,,,28.81,3.46,0.29,4.32,42.33,95.00,40.21,4.25,6.93,0.58,0.50,3.98,0.33,0.87
AMT-14 CTD36 17m,15-11-0524,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,35,70,1.121,,0.597,5.239,6.182,PS,88.84,5.54,Coccosphere size measured from flattened coccosphere,0.015,,,,3.99,0.48,0.04,5.54,88.84,90.00,79.96,5.35,13.22,1.10,0.04,6.44,0.54,0.07
AMT-14 CTD36 17m,15-11-0524,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,19,38,2.21,,1.689,5.711,12.222,Strawberry,208.72,7.36,CN estimated,0.015,0.015,0.024,,16.61,1.99,0.17,7.36,208.72,76.00,158.63,6.72,25.15,2.10,0.08,10.41,0.87,0.19
AMT-14 CTD36 17m,15-11-0525,Collapsed,1,Syracosphaeraceae,Syracosphaera,halldalii,39,45,2.369,,1.743,,,PS,1039.30,12.57,"possible 15% base overlap, CN estimated",0.015,0.015,0.024,,24.23,2.91,0.24,12.57,1039.30,76.00,789.87,11.47,113.57,9.46,0.03,32.02,2.67,0.09
AMT-14 CTD36 17m,15-11-0526,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,24,6.786,1.691,5.528,,,PS,132.26,6.32,"CW = 1.094, possible 10% base overlap",0.01,,,,43.74,5.25,0.44,6.32,132.26,95.00,125.64,6.21,20.21,1.68,0.26,8.84,0.74,0.59
AMT-14 CTD36 17m,15-11-0527,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0527,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0528,Intact,1,Syracosphaeraceae,Syracosphaera,molischii,16,32,1.927,,1.371,7.115,6.519,PS,172.79,6.91,,0.015,0.015,0.024,,9.27,1.11,0.09,6.91,172.79,76.00,131.32,6.31,21.07,1.76,0.05,9.12,0.76,0.12
AMT-14 CTD36 17m,15-11-0530,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,24,62,3.559,,2.89,8.148,9.484,PS,329.68,8.57,"Multi-layered =3-4 (account for in biomass), CN includes 14 extra surrounding coccoliths",0.02,0.016,0.021,,150.93,18.11,1.51,8.05,273.24,86.00,234.99,7.66,36.38,3.03,0.50,13.70,1.14,1.32
AMT-14 CTD36 17m,15-11-0531,Collapsed,1,Syracosphaeraceae,Michaelsaria,sp.,18,36,1.333,,0.892,3.481,7.861,PS,49.88,4.57,CN estimated,0.02,,,,4.60,0.55,0.05,4.57,49.88,82.00,40.90,4.27,7.04,0.59,0.08,4.03,0.34,0.14
AMT-14 CTD36 17m,15-11-0531,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,19,38,1.061,,0.663,3.763,3.784,PS,28.06,3.77,Coccosphere size measured from flattened coccosphere,0.015,,,,1.84,0.22,0.02,3.77,28.06,90.00,25.25,3.64,4.48,0.37,0.05,2.88,0.24,0.08
AMT-14 CTD36 17m,15-11-0531,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,13,3.341,,1.804,,,PS,21.10,3.43,"possible 85% base overlap, spine length = 5.096, CW estimated",0.015,0.011,0.017,,51.20,6.14,0.51,3.43,21.10,80.00,16.88,3.18,3.07,0.26,2.00,2.17,0.18,2.83
AMT-14 CTD36 17m,15-11-0532,Intact,1,Syracosphaeraceae,Syracosphaera,ossa,15,30,2.647,,,6.15,6.667,PS,132.03,6.32,CN estimated,0.015,0.015,0.024,,22.53,2.70,0.23,6.32,132.03,76.00,100.34,5.77,16.36,1.36,0.17,7.55,0.63,0.36
AMT-14 CTD36 17m,15-11-0534,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,35,3.289,,2.326,,,PS,133.27,6.34,"Cannot accurately count CN, size estimated using fixed CN",0.015,0.011,0.017,,106.61,12.79,1.07,6.34,133.27,80.00,106.62,5.88,17.32,1.44,0.74,7.88,0.66,1.62
AMT-14 CTD36 17m,15-11-0535,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,21,9.042,1.602,6.348,,,PS,163.47,6.78,"CW = 1.520, possible 10% base overlap",0.01,,,,90.54,10.86,0.91,6.78,163.47,95.00,155.30,6.67,24.66,2.05,0.44,10.26,0.85,1.06
AMT-14 CTD36 17m,15-11-0536,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,14,7.764,2.393,6.116,,,PS,152.77,6.63,"CW = 1.459, possible 10% base overlap",0.01,,,,38.21,4.59,0.38,6.63,152.77,95.00,145.14,6.52,23.14,1.93,0.20,9.78,0.82,0.47
AMT-14 CTD36 17m,15-11-0537,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0538,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,10,3.144,,1.977,,,PS,14.91,3.05,"possible 85% base overlap, spine length = 4.697",0.015,0.011,0.017,,31.47,3.78,0.31,3.05,14.91,80.00,11.93,2.83,2.21,0.18,1.71,1.70,0.14,2.22
AMT-14 CTD36 17m,15-11-0539,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,23,9.243,1.599,7.057,,,PS,100.91,5.78,"CW = 1.008, possible 10% base overlap",0.01,,,,105.92,12.71,1.06,5.78,100.91,95.00,95.86,5.68,15.68,1.31,0.81,7.32,0.61,1.74
AMT-14 CTD36 17m,15-11-0542,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,16,32,1.384,,0.916,4.853,4.978,PS,61.39,4.89,Coccosphere size measured from flattened coccosphere,0.015,,,,3.44,0.41,0.03,4.89,61.39,90.00,55.25,4.73,9.34,0.78,0.04,4.97,0.41,0.08
AMT-14 CTD36 17m,15-11-0542,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,19,5.576,1.525,4.569,,,PS,93.38,5.63,"CW = 1.215, possible 10% base overlap",0.01,,,,19.21,2.31,0.19,5.63,93.38,95.00,88.71,5.53,14.58,1.21,0.16,6.93,0.58,0.33
AMT-14 CTD36 17m,15-11-0543,Collapsed,1,Syracosphaeraceae,Michaelsaria,sp.,22,44,1.41,,0.773,5.704,6.296,PS,107.26,5.89,Coccosphere size measured from flattened coccosphere,0.02,,,,6.66,0.80,0.07,5.89,107.26,82.00,87.95,5.52,14.46,1.20,0.06,6.89,0.57,0.12
AMT-14 CTD36 17m,15-11-0546,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,31,3.561,,2.249,,,PS,118.99,6.10,"possible 85% base overlap, spine length = 4.838",0.015,0.011,0.017,,118.33,14.20,1.18,6.10,118.99,80.00,95.19,5.67,15.57,1.30,0.91,7.28,0.61,1.95
AMT-14 CTD36 17m,15-11-0547,Collapsed,1,Holococcolith,Corisphaera,gracilis,44,80,1.525,,1.36,8.259,8.557,PS,305.62,8.36,"Coccosphere size measured from flattened coccosphere, CN estimated",0.036,,,,27.58,3.31,0.28,8.36,305.62,59.00,180.31,7.01,28.37,2.36,0.12,11.39,0.95,0.29
AMT-14 CTD36 17m,15-11-0550,Intact,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,21,42,4.077,,,11.334,11.482,PS,772.29,11.38,,0.06,,,,461.09,55.33,4.61,11.38,772.29,76.00,586.94,10.39,85.93,7.16,0.64,26.01,2.17,2.13
AMT-14 CTD36 17m,15-11-0554,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0556,Collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,,13,3.865,,3,,,PS,214.98,7.43,"Tube cycle CL = 2.413, Tube cycle CW = 1.761",0.02,0.016,0.021,,40.53,4.86,0.41,7.43,214.98,86.00,184.88,7.07,29.04,2.42,0.17,11.59,0.97,0.42
AMT-14 CTD36 17m,15-11-0560,Collapsed,1,Holococcolith,Corisphaera,gracilis,41,82,1.479,,0.867,8.382,8.823,PS,324.57,8.53,,0.036,,,,25.79,3.09,0.26,8.53,324.57,59.00,191.50,7.15,30.02,2.50,0.10,11.88,0.99,0.26
AMT-14 CTD36 17m,15-11-0564,Collapsed,1,Syracosphaeraceae,Syracosphaera,castellata,58,70,2.095,,1.366,,,PS,1597.28,14.50,"possible 5% base gaps, CN estimated",0.015,0.015,0.024,,26.07,3.13,0.26,14.50,1597.28,76.00,1213.93,13.24,170.03,14.17,0.02,43.26,3.60,0.07
AMT-14 CTD36 17m,15-11-0564,Collapsed,1,Holococcolith,Syracosphaera,HOL,38,74,0.524,,,4.074,4.075,PS,35.41,4.07,"Coccosphere size measured from flattened coccosphere, CN estimated",0.036,,,,1.03,0.12,0.01,4.07,35.41,80.00,28.33,3.78,4.99,0.42,0.02,3.12,0.26,0.04
AMT-14 CTD36 17m,15-11-0569,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,31,62,2.222,,1.541,,,PS,1499.66,14.20,"possible 5% base overlap, CN estimated",0.015,0.015,0.024,,27.55,3.31,0.28,14.20,1499.66,76.00,1139.74,12.96,160.25,13.35,0.02,41.39,3.45,0.08
AMT-14 CTD36 17m,15-11-0570,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,20,7.5,,,,,,,,,0.01,,,,49.21,5.90,0.49,,,95.00,,,,,,,,
AMT-14 CTD36 17m,15-11-0571,Intact,1,Syracosphaeraceae,Syracosphaera,sp.,14,28,1.87,,1.43,5.928,5.928,PS,109.07,5.93,CN estimated,0.015,0.015,0.024,,7.42,0.89,0.07,5.93,109.07,76.00,82.90,5.41,13.68,1.14,0.07,6.61,0.55,0.13
AMT-14 CTD36 17m,15-11-0572,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,23,7.635,1.865,5.342,,,PS,307.36,8.37,"CW = 1.816, possible 10% base overlap",0.01,,,,59.70,7.16,0.60,8.37,307.36,95.00,291.99,8.23,44.61,3.72,0.16,15.95,1.33,0.45
AMT-14 CTD36 17m,15-11-0573,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,14,32,3.393,,2.816,7.334,7.861,PS,221.39,7.51,"Multi-layered =2 (account for in biomass), CN includes 4 extra surrounding coccoliths",0.02,0.016,0.021,,67.50,8.10,0.67,7.25,199.17,86.00,171.29,6.89,27.03,2.25,0.30,10.98,0.92,0.74
AMT-14 CTD36 17m,15-11-0574,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,25,8.667,1.563,6.791,,,PS,130.82,6.30,"CW = 1.128, possible 10% base overlap",0.01,,,,94.92,11.39,0.95,6.30,130.82,95.00,124.28,6.19,20.00,1.67,0.57,8.77,0.73,1.30
AMT-14 CTD36 17m,15-11-0578,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,,21,1.832,,1.288,,,PS,169.11,6.86,possible 5% base overlap,0.015,0.015,0.024,,5.23,0.63,0.05,6.86,169.11,76.00,128.53,6.26,20.64,1.72,0.03,8.98,0.75,0.07
AMT-14 CTD36 17m,15-11-0584,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,23,3.083,,1.571,,,PS,35.76,4.09,"possible 85% base overlap, spine length = 4.664, CN estimated",0.015,0.011,0.017,,70.00,8.40,0.70,4.09,35.76,80.00,28.61,3.79,5.04,0.42,1.67,3.14,0.26,2.68
AMT-14 CTD36 17m,15-11-0585,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,40,80,2.862,,2.034,13.185,17.585,Strawberry,1600.67,14.51,,0.015,0.015,0.024,,75.95,9.11,0.76,14.51,1600.67,76.00,1216.51,13.24,170.36,14.20,0.05,43.32,3.61,0.21
AMT-14 CTD36 17m,15-11-0586,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0591,Partially collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,4.658,4.835,PS,54.93,4.72,"Spine length = 5.175, cannot measure CL or CN",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0591,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,15,30,1.923,,1.342,5.704,5.778,PS,98.43,5.73,,0.015,0.015,0.024,,8.64,1.04,0.09,5.73,98.43,76.00,74.81,5.23,12.42,1.03,0.08,6.15,0.51,0.17
AMT-14 CTD36 17m,15-11-0594,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,21,9.248,1.767,6.93,,,PS,128.05,6.25,"CW = 1.171, possible 10% base overlap",0.01,,,,96.87,11.62,0.97,6.25,128.05,95.00,121.65,6.15,19.61,1.63,0.59,8.64,0.72,1.34
AMT-14 CTD36 17m,15-11-0594,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,18,36,2.137,,1.5,8.657,9.353,Strawberry,367.02,8.88,CN estimated as partially covered by other collapsed coccosphere,0.015,0.015,0.024,,14.23,1.71,0.14,8.88,367.02,76.00,278.93,8.11,42.73,3.56,0.04,15.45,1.29,0.11
AMT-14 CTD36 17m,15-11-0594,Collapsed,1,Holococcolith,Corisphaera,tyrrheniensis,,31,1.691,,0.963,,,PS,202.06,7.28,possible 5% base gaps,0.036,,,,14.57,1.75,0.15,7.28,202.06,59.00,119.22,6.11,19.24,1.60,0.09,8.52,0.71,0.21
AMT-14 CTD36 17m,15-11-0597,Collapsed,1,Syracosphaeraceae,Syracosphaera,ossa,,18,1.858,,1.335,,,PS,133.37,6.34,"possible 10% base overlap, CN estimated",0.015,0.015,0.024,,4.68,0.56,0.05,6.34,133.37,76.00,101.36,5.78,16.52,1.38,0.03,7.61,0.63,0.07
AMT-14 CTD36 17m,15-11-0600,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,25,3.3,,2.121,,,PS,70.41,5.12,"possible 85% base overlap, spine length = 4.968",0.015,0.011,0.017,,92.40,11.09,0.92,5.12,70.41,80.00,56.33,4.76,9.51,0.79,1.17,5.04,0.42,2.20
AMT-14 CTD36 17m,15-11-0002,"Partial image, other part in 12",1,Calcidiscaceae,Calcidiscus,leptoporus,18,36,7.787,,,17.26,17.26,PS,2692.28,17.26,CD measured in one direction as sphere split over 2 images,0.08,0.068,0.103,,3671.70,440.60,36.72,17.26,2692.28,41.00,1103.84,12.82,155.50,12.96,2.83,40.47,3.37,10.89
AMT-14 CTD36 17m,15-11-0002,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,16,5.925,1.983,5.046,,,,147.08,6.55,"CW = 1.423,  maximum upper collar CW = 5.046, possible 5% base overlap",0.015,,,,29.11,3.49,0.29,6.55,147.08,95.00,139.73,6.44,22.33,1.86,0.16,9.52,0.79,0.37
AMT-14 CTD36 17m,15-11-0007,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,35,3.633,,2,,,PS,123.36,6.18,"Cannot accurately count CN, size estimated using fixed CN",0.015,0.011,0.017,,121.23,14.55,1.21,6.18,123.36,80.00,98.69,5.73,16.11,1.34,0.90,7.47,0.62,1.95
AMT-14 CTD36 17m,15-11-0009,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,25,3.054,,1.912,,,PS,53.65,4.68,"spine length = 5.171, possible 85% base overlap",0.015,0.011,0.017,,94.03,11.28,0.94,4.68,53.65,80.00,42.92,4.34,7.37,0.61,1.53,4.17,0.35,2.71
AMT-14 CTD36 17m,15-11-0019,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,10,7.8,2.022,6.444,,,PS,93.55,5.63,"CW = 1.961,  maximum upper collar CW = 6.444, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,27.68,3.32,0.28,5.63,93.55,95.00,88.87,5.54,14.60,1.22,0.23,6.94,0.58,0.48
AMT-14 CTD36 17m,15-11-0023,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,xiphos,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,131.22,15.75,1.31,10.00,523.60,95.00,497.42,9.83,73.57,6.13,0.21,23.16,1.93,0.68
AMT-14 CTD36 17m,15-11-0028,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,9,18,1.596,,1.054,3.927,4.074,PS,32.90,3.98,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,2.96,0.36,0.03,3.98,32.90,76.00,25.00,3.63,4.44,0.37,0.08,2.86,0.24,0.12
AMT-14 CTD36 17m,15-11-0028,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0032,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0032,Intact,1,Syracosphaeraceae,Syracosphaera,castellata,10,22,1.335,,0.966,3.186,3.334,PS,17.72,3.23,,0.015,0.015,0.024,,2.12,0.25,0.02,3.23,17.72,76.00,13.47,2.95,2.48,0.21,0.10,1.85,0.15,0.14
AMT-14 CTD36 17m,15-11-0034,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,28,55,1.689,,1.194,8.08,8.978,PS,306.90,8.37,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,10.73,1.29,0.11,8.37,306.90,76.00,233.25,7.64,36.13,3.01,0.04,13.63,1.14,0.09
AMT-14 CTD36 17m,15-11-0037,Intact,1,Noelaerhabdaceae,Gephyrocapsa,sp.,8,17,2.696,,,3.481,3.853,PS,24.45,3.60,,0.05,,,,44.97,5.40,0.45,3.60,24.45,30.00,7.33,2.41,1.40,0.12,3.85,1.21,0.10,4.46
AMT-14 CTD36 17m,15-11-0039,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,22,8.941,1.679,8.012,,,PS,109.37,5.93,"CW = 1.059,  maximum upper collar CW = 8.012, possible 10% base overlap",0.01,,,,91.71,11.00,0.92,5.93,109.37,95.00,103.91,5.83,16.91,1.41,0.65,7.74,0.65,1.42
AMT-14 CTD36 17m,15-11-0040,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,17,9.673,1.767,7.161,,,PS,129.98,6.28,"CW = 1.461,  maximum upper collar CW = 7.161, possible 10% base overlap",0.01,,,,89.73,10.77,0.90,6.28,129.98,95.00,123.48,6.18,19.88,1.66,0.54,8.73,0.73,1.23
AMT-14 CTD36 17m,15-11-0056,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,22,44,0.997,,0.629,4.148,4.444,PS,40.04,4.24,"Coccosphere size measured from flattened coccosphere, CN estimated",0.015,,,,1.77,0.21,0.02,4.24,40.04,90.00,36.03,4.10,6.25,0.52,0.03,3.69,0.31,0.06
AMT-14 CTD36 17m,15-11-0057,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,22,9.443,2.272,7.825,,,PS,254.75,7.87,"CW = 1.547,  maximum upper collar CW = 7.825, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,108.04,12.96,1.08,7.87,254.75,95.00,242.01,7.73,37.40,3.12,0.35,13.99,1.17,0.93
AMT-14 CTD36 17m,15-11-0057,"Collapsed, other part in 58",1,Umbellosphaeraceae,Umbellosphaera,irregularis,10,11,7.173,2.297,,,,PS,89.08,5.54,"CW = 1.519, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,23.68,2.84,0.24,5.54,89.08,95.00,84.63,5.45,13.94,1.16,0.20,6.70,0.56,0.42
AMT-14 CTD36 17m,15-11-0062,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,20,40,1.734,,1.159,6.519,6.52,PS,145.08,6.52,"Coccosphere size measured from flattened coccosphere, CN estimated",0.015,0.015,0.024,,8.45,1.01,0.08,6.52,145.08,76.00,110.26,5.95,17.88,1.49,0.06,8.07,0.67,0.13
AMT-14 CTD36 17m,15-11-0064,Intact,1,Unknown,Unknown,Unknown,11,23,2.96,,1.602,5.717,8.198,PS,140.30,6.45,"CN estimated, coccosphere distorted and poorly preserved.",,,,,,,,6.45,140.30,,,,,,,,,
